ObjectId,X,Y,ELEVATION,kryield19,SlopeDEg_m,Analytical,AspectDeg_,AspectClas,krVWC8_29,krVWC5_31,krVWC6_25a,krVWC4_29,krslopedeg,Kr19NDVI_m,Kr18NDVI_m,TWI,VWCchange,Aspect.x,Aspect.y
10956,436373.3,4849943,4997.774,78.03377,11.37683,6.401835,312.4432,4,6.238855,19.51531,19.86493,19.64612,12.28143,0.87,0.76,5.044918,13.40727,-0.14475863341362588,-0.9894669969494786
7032,436536.1,4850061,5017.04,106.7884,9.790768,64.35147,203.2137,3,6.845904,20.01321,18.10459,17.55086,8.915785,0.9,0.81,8.960885,10.70495,-0.5488382604778657,0.8359285638352302
819,436378.3,4850274,4978.787,104.0989,0.1007261,44.7159,270.0002,4,9.698505,23.82444,22.25242,22.99929,0.3026911,0.91,0.85,15.42916,13.30078,0.9844171401339267,-0.17584906656147195
14454,436353.6,4849819,4997.743,124.2286,4.040846,38.90415,255.551,4,7.789364,20.58809,19.61761,20.3926,3.558925,0.89,0.82,9.885161,12.60324,-0.46956786927605587,-0.8828963790522333
15123,436388.1,4849779,5005.422,165.8925,16.83506,25.13316,281.5713,4,9.039434,22.3661,20.70479,21.96418,20.38766,0.91,0.86,4.966791,12.92474,0.3882736271470314,-0.9215441337570806
3201,436462.1,4850180,4990.571,98.60461,11.02859,14.6007,295.5895,4,7.814608,20.38623,19.02696,18.98735,11.7776,0.9,0.78,5.568941,11.17274,0.9611132964521845,0.2761543615132945
12381,436358.5,4849898,5000.186,108.6285,10.66934,27.28221,274.5937,4,6.200973,19.45523,18.72563,19.05935,9.709625,0.87,0.77,3.878647,12.85838,-0.29136858723885967,-0.9566108646520961
14217,436314.1,4849829,4996.653,120.1802,2.895846,37.04542,273.5421,4,6.157873,19.61468,18.8419,19.95262,3.589154,0.88,0.79,11.63521,13.79474,-0.9751189944660438,-0.22168208459758693
693,436472,4850284,4981.067,113.0519,14.36916,23.36146,281.9463,4,9.728049,21.04488,21.03606,21.18646,8.768654,0.9,0.84,6.162106,11.45841,0.6988278699834696,-0.7152898769969884
12582,436442.4,4849893,5020.469,112.3795,23.36828,94.46065,89.88352,2,7.068019,22.61022,20.40216,20.29873,18.69871,0.9,0.81,2.499652,13.23071,-0.3411399922883884,0.940012502928274
18,436358.5,4850334,4981.885,113.137,12.23661,41.14293,253.1972,4,9.064721,23.2323,21.23377,21.79266,11.49437,0.89,0.8,3.552193,12.72794,-0.2945564907710969,0.9556340689534968
14058,436427.6,4849839,5022.834,107.1134,16.13697,36.34887,264.8881,4,7.204242,20.50113,19.11336,19.62509,17.59166,0.9,0.82,2.29725,12.42085,0.5450755522784824,0.8383869287556357
13509,436343.7,4849858,4999.896,97.68894,11.29604,33.83187,264.0792,4,4.848755,18.05486,17.37603,18.92152,10.40333,0.87,0.79,3.522188,14.07276,0.9828594413158203,0.18435649870930448
1911,436531.2,4850230,5001.671,122.0229,10.11942,20.68351,286.204,4,11.09811,20.74862,20.67087,19.2628,14.3125,0.9,0.81,6.314315,8.16469,-0.9495280176513646,-0.3136822336299424
11829,436476.9,4849918,5012.496,118.5789,9.594645,11.93867,307.4064,4,7.86833,23.95799,21.99534,21.97748,7.571952,0.91,0.82,4.89166,14.10915,0.8917131427112776,-0.4526010065344274
411,436417.7,4850299,4977.154,140.8755,0.1080599,44.82734,248.7497,4,8.710417,21.6999,22.22648,21.52782,0.1080599,0.91,0.85,11.41943,12.8174,-0.8451875404529241,-0.5344698508458047
4617,436555.8,4850136,5017.381,126.4756,7.485528,18.35306,304.2631,4,10.14975,21.83576,19.06594,17.70175,7.829091,0.91,0.82,5.174931,7.552005,-0.8909390966971882,0.4541228093549128
14958,436324,4849789,4999.909,128.4742,4.098199,47.37425,45.7455,2,6.836182,22.0946,20.8653,21.17388,4.943903,0.89,0.8,4.310673,14.3377,-0.19122156154833442,0.9815468987261977
10068,436536.1,4849972,5017.534,122.566,0.2894585,45.4922,69.63844,2,7.79492,22.13354,21.12696,20.80083,2.036533,0.91,0.85,8.78533,13.00591,0.8661239642395021,0.4998292494142872
357,436328.9,4850299,4972.867,135.7636,13.2009,46.04728,246.6372,4,9.111394,24.15786,21.28989,22.77955,16.05721,0.87,0.74,4.343244,13.66816,-0.02217487547517072,0.9997541072172
11565,436570.6,4849928,5020.562,159.9251,10.71386,15.13045,295.2029,4,10.76504,23.12325,21.63828,21.16775,9.461125,0.91,0.87,4.445421,10.40271,0.9943012928210313,-0.10660646835171733
9459,436363.5,4849987,4991.416,115.2565,14.15711,7.077811,324.9874,1,5.301701,19.72326,19.32067,19.05643,13.96418,0.88,0.77,5.352535,13.75473,-0.16665835193000628,-0.9860147025942231
14865,436422.7,4849799,5019.927,129.3098,19.39475,27.12545,281.4722,4,9.406026,22.59763,20.50675,21.50452,19.90903,0.91,0.86,3.162811,12.09849,0.29519299013503764,-0.9554376476647419
12705,436398,4849888,5014.286,123.5956,31.42252,39.05347,276.0239,4,6.400027,19.71259,18.98064,19.10664,28.85907,0.88,0.78,3.392726,12.70661,0.9063410853150722,-0.4225468460063298
1260,436422.7,4850254,4981.13,114.3535,6.38138,21.08653,320.1723,1,8.710184,23.94036,21.27816,22.46484,5.204877,0.91,0.84,4.0193,13.75465,0.9637306980260778,-0.26687664131985933
3369,436501.6,4850175,4998.162,131.3442,20.26502,21.58718,290.645,4,8.848583,18.49639,17.53435,17.06752,20.46374,0.9,0.79,4.842298,8.218941,-0.04766147970481042,0.9988635459122271
12939,436541,4849883,5023.814,182.8235,10.37375,72.62166,85.59435,2,9.900528,23.19291,20.83876,21.61134,11.39727,0.91,0.86,3.913601,11.71082,-0.7169713812045231,-0.6971026025870786
12504,436314.1,4849893,5000.156,111.5855,3.840196,35.24834,271.8344,4,5.832469,19.90047,18.88872,19.21542,3.466703,0.87,0.76,4.112325,13.38295,-0.0865271284599899,0.9962494948758912
6393,436570.6,4850081,5021.704,145.7537,6.702924,28.64906,277.1843,4,6.937836,20.80627,18.83366,17.92649,6.843479,0.91,0.84,5.134298,10.98865,0.7490651459058746,0.6624963450382281
7293,436422.7,4850051,5009.567,109.5789,43.77006,34.38363,334.0504,1,5.952081,17.46346,16.83983,17.67355,32.31639,0.89,0.77,1.500637,11.72147,0.5048581326032604,0.8632023319850038
1761,436486.8,4850235,4989.233,113.1393,15.48122,21.67856,285.1978,4,9.194822,21.45041,20.5455,20.89553,17.45083,0.9,0.81,6.452579,11.70071,-0.773068761181636,0.6343222292219395
4392,436442.4,4850141,4991.982,108.1624,7.500253,50.27302,42.65537,1,7.453049,20.7934,20.06119,19.22933,7.660935,0.9,0.79,6.705132,11.77628,0.2414591158878853,-0.970410993009993
7725,436585.4,4850042,5023.364,92.3096,2.371188,38.88255,269.3921,4,7.459909,19.24327,18.88986,17.80678,7.627561,0.91,0.84,3.912876,10.34687,0.7074814164174432,-0.7067319473633327
8661,436442.4,4850012,5010.835,122.2482,18.8886,91.65488,96.37456,2,5.571006,18.90851,18.76434,18.33813,13.74413,0.9,0.82,3.09414,12.76712,-0.5277794026376759,0.8493814821100222
6843,436496.6,4850066,5010.463,104.5206,7.166448,40.36995,249.1864,4,6.990829,20.41764,17.91983,16.95264,10.72795,0.9,0.78,3.430847,9.961814,-0.5398138534103702,-0.8417844163835817
9207,436501.6,4849997,5009.199,121.9557,14.16983,32.14302,269.0251,4,6.630814,21.79812,19.91561,19.90857,13.20355,0.91,0.84,6.040412,13.27776,0.4067814954695716,-0.9135254867509384
8424,436333.9,4850017,4985.859,103.7046,0.1007261,44.7159,270.0002,4,3.979144,22.36401,19.6459,19.31049,0.8479565,0.88,0.77,13.50854,15.33134,0.9844171401339267,-0.17584906656147195
5532,436491.7,4850106,5007.645,108.1278,11.30086,15.14965,294.2669,4,7.216725,19.89027,18.04019,16.44186,11.1296,0.9,0.81,4.912916,9.225135,0.5037953919137148,-0.8638230160666631
2442,436348.7,4850205,4980.015,141.8664,20.63292,27.29906,282.6217,4,9.368556,27.01449,23.16644,25.74237,17.2033,0.89,0.8,3.564314,16.37381,0.9926111156000753,-0.12133908351052411
9765,436314.1,4849977,4989.955,123.6186,6.160677,42.59572,26.9244,1,5.606384,20.0744,19.81721,19.14226,5.773472,0.88,0.77,6.43028,13.53588,-0.21907119919060813,0.9757088754773059
7434,436383.2,4850047,4996.427,114.5726,18.9259,63.53191,227.9208,4,5.666814,19.09667,17.43397,17.8228,18.39809,0.89,0.77,2.941406,12.15598,-0.1547087179437805,0.9879601270254745
5667,436447.3,4850101,4996.69,113.0958,10.22794,36.23726,10.69874,1,7.09345,19.04538,18.08845,18.12437,10.15342,0.9,0.8,9.469081,11.03092,-0.292494410297505,-0.9562672324955587
4791,436324,4850126,4977.875,155.4222,14.30768,14.71007,294.259,4,8.292008,24.77818,23.63994,22.62565,15.88026,0.89,0.78,4.828115,14.33364,0.4969555402161909,-0.8677760028074261
10092,436575.6,4849972,5018.564,109.8985,17.26077,29.40324,275.9626,4,7.94478,21.12199,20.68425,20.13922,14.81643,0.91,0.88,3.1117,12.19444,0.8787528413874933,-0.4772771142150093
13791,436388.1,4849848,5006.014,125.4238,12.86899,49.01589,241.2989,4,6.643425,19.79672,18.55976,19.1519,17.92915,0.89,0.82,5.392991,12.50848,-0.8232213057816291,0.5677206017991504
14619,436462.1,4849814,5013.703,127.6542,0.1080599,44.82734,21.25051,1,8.643623,21.34723,19.16227,20.60248,0.4432005,0.9,0.84,11.83275,11.95885,-0.7380378247033184,0.6747593417709709
2232,436432.5,4850215,4985.22,111.5835,8.866186,15.67877,329.1964,1,8.44911,23.9981,20.54588,21.86163,9.97175,0.9,0.82,2.840358,13.41252,-0.7833068311339604,0.6216352695100827
4836,436398,4850126,4989.496,120.3621,11.39545,6.386823,317.72,1,9.987428,22.3469,22.06098,21.01983,9.975953,0.9,0.83,6.393104,11.0324,-0.9134384677618539,-0.40697686127454047
1434,436338.8,4850245,4977.353,138.9051,14.30734,30.4627,271.613,4,11.26433,24.7632,22.04131,24.05495,16.1378,0.89,0.78,1.910979,12.79062,0.13435698520888234,0.9909329949727076
8553,436546,4850017,5017.789,104.7358,5.996868,67.7667,131.8725,2,4.182852,17.75328,18.02421,17.30273,4.863479,0.9,0.82,4.118397,13.11988,0.997234231879419,-0.07432285494964103
10365,436481.8,4849962,5008.073,131.1736,0.1080599,44.60469,338.7498,1,6.819508,23.15318,21.96179,21.64163,0.1086075,0.91,0.84,11.48624,14.82212,0.8565721080268616,-0.5160273478706517
